"","subject","total","actor","receiver","grooming","mouthlicking","aggression"
"1","chorrera_dolly22",1460,716,744,1260,156,2
"2","chorrera_alanis22",1060,566,494,896,102,4
"3","chorrera_helen22",1028,522,506,796,136,0
"4","chorrera_cher22",870,400,470,690,136,0
"5","chorrera_bea22",858,438,420,652,110,0
"6","chorrera_judy22",824,362,462,712,72,2
"7","tole_uilani22",619,308,311,559,19,0
"8","tole_zula22",530,236,294,443,51,3
"9","tole_tracy22",470,216,254,368,52,3
"10","tole_val22",463,228,235,392,12,6
"11","tole_dory22",429,217,212,331,15,6
"12","bayano_isla22",413,158,255,289,17,53
"13","tole_rosa22",394,254,140,327,12,0
"14","chorrera_manon22",385,250,135,317,28,4
"15","bayano_kamari22",372,188,184,325,17,8
"16","bayano_raya22",324,177,147,283,15,6
"17","bayano_hilda22",275,102,173,227,29,1
"18","chorrera_fergie22",254,126,128,188,21,3
"19","chorrera_nelly22",228,107,121,189,20,4
"20","chorrera_luna22",197,122,75,161,15,0
"21","captive.born_ube22",156,69,87,113,21,5
"22","captive.born_maui22",129,107,22,28,0,72
