"","actor_name","receiver_name","group","n"
"1","bea22","fergie22","Chorrera",52
"2","alanis22","bea22","Chorrera",40
"3","dolly22","cher22","Chorrera",36
"4","fergie22","bea22","Chorrera",30
"5","alanis22","judy22","Chorrera",28
"6","uilani22","tracy22","Tolé",28
"7","bea22","alanis22","Chorrera",24
"8","cher22","dolly22","Chorrera",20
"9","helen22","dolly22","Chorrera",20
"10","manon22","bea22","Chorrera",20
"11","uilani22","zula22","Tolé",18
"12","helen22","alanis22","Chorrera",16
"13","juvenil22","val22","Tolé",15
"14","val22","quinoa22","Tolé",14
"15","zula22","uilani22","Tolé",13
"16","bea22","dolly22","Chorrera",12
"17","cher22","judy22","Chorrera",12
"18","dolly22","bea22","Chorrera",12
"19","fergie22","alanis22","Chorrera",12
"20","helen22","cher22","Chorrera",12
"21","juvenil22","helen22","Chorrera",12
"22","val22","tracy22","Tolé",11
"23","alanis22","manon22","Chorrera",10
"24","bea22","manon22","Chorrera",10
"25","tracy22","zula22","Tolé",9
"26","uilani22","val22","Tolé",9
"27","hilda22","kamari22","Bayano",8
"28","alanis22","dolly22","Chorrera",8
"29","alanis22","helen22","Chorrera",8
"30","dolly22","alanis22","Chorrera",8
"31","helen22","bea22","Chorrera",8
"32","manon22","alanis22","Chorrera",8
"33","val22","uilani22","Tolé",8
"34","val22","dory22","Tolé",7
"35","juvenil22","dolly22","Chorrera",6
"36","juvenil22","fergie22","Chorrera",6
"37","dory22","tracy22","Tolé",6
"38","quinoa22","dory22","Tolé",6
"39","quinoa22","val22","Tolé",6
"40","quinoa22","zula22","Tolé",6
"41","tracy22","dory22","Tolé",6
"42","tracy22","uilani22","Tolé",6
"43","kamari22","hilda22","Bayano",5
"44","dory22","rosa22","Tolé",5
"45","dory22","val22","Tolé",5
"46","dory22","zula22","Tolé",5
"47","rosa22","quinoa22","Tolé",5
"48","rosa22","zula22","Tolé",5
"49","tracy22","val22","Tolé",5
"50","zula22","dory22","Tolé",5
"51","alanis22","cher22","Chorrera",4
"52","alanis22","fergie22","Chorrera",4
"53","cher22","alanis22","Chorrera",4
"54","dolly22","judy22","Chorrera",4
"55","judy22","bea22","Chorrera",4
"56","judy22","cher22","Chorrera",4
"57","luna22","alanis22","Chorrera",4
"58","manon22","judy22","Chorrera",4
"59","nelly22","alanis22","Chorrera",4
"60","nelly22","dolly22","Chorrera",4
"61","alanis22","judy22","Tolé",4
"62","quinoa22","uilani22","Tolé",4
"63","rosa22","val22","Tolé",4
"64","uilani22","quinoa22","Tolé",4
"65","zula22","quinoa22","Tolé",4
"66","isla22","hilda22","Bayano",3
"67","isla22","kamari22","Bayano",3
"68","raya22","hilda22","Bayano",3
"69","juvenil22","manon22","Chorrera",3
"70","dory22","uilani22","Tolé",3
"71","rosa22","uilani22","Tolé",3
"72","tracy22","quinoa22","Tolé",3
"73","uilani22","dory22","Tolé",3
"74","zula22","tracy22","Tolé",3
"75","zula22","val22","Tolé",3
"76","hilda22","isla22","Bayano",2
"77","hilda22","raya22","Bayano",2
"78","isla22","raya22","Bayano",2
"79","kamari22","isla22","Bayano",2
"80","bea22","luna22","Chorrera",2
"81","bea22","olive22","Chorrera",2
"82","cher22","manon22","Chorrera",2
"83","manon22","helen22","Chorrera",2
"84","bea22","tracy22","Tolé",2
"85","dory22","quinoa22","Tolé",2
"86","quinoa22","rosa22","Tolé",2
"87","rosa22","dory22","Tolé",2
"88","rosa22","tracy22","Tolé",2
"89","val22","zula22","Tolé",2
"90","isla22","quen22","Bayano",1
"91","raya22","isla22","Bayano",1
"92","nelly22","fergie22","Chorrera",1
"93","quinoa22","tracy22","Tolé",1
