"","hilda22","isla22","kamari22","maui22","raya22","alanis22","bea22","cher22","dolly22","fergie22","helen22","judy22","luna22","manon22","nelly22","dory22","quinoa22","rosa22","tracy22","uilani22","val22","zula22","ube22"
"hilda22",0,20,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isla22",16,0,21,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kamari22",27,25,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"maui22",0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"raya22",6,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alanis22",0,0,0,0,0,0,56,4,32,10,12,48,2,10,0,0,0,0,0,0,0,0,0
"bea22",0,0,0,0,0,60,0,12,36,58,0,24,2,10,0,0,0,0,0,0,0,0,0
"cher22",0,0,0,0,0,4,28,0,44,0,0,36,0,2,0,0,0,0,0,0,0,0,0
"dolly22",0,0,0,0,0,36,40,76,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0
"fergie22",0,0,0,0,0,12,34,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"helen22",0,0,0,0,0,16,32,12,48,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"judy22",0,0,0,0,0,16,4,4,12,0,12,0,2,0,0,0,0,0,0,0,0,0,0
"luna22",0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"manon22",0,0,0,0,0,12,20,0,4,0,2,10,0,0,0,0,0,0,0,0,0,0,0
"nelly22",0,0,0,0,0,6,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"dory22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,25,18,26,11,0
"quinoa22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,5,4,16,10,0
"rosa22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0,7,21,7,10,1
"tracy22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,0,17,6,13,0
"uilani22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,1,47,0,32,53,0
"val22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,36,1,12,31,0,12,1
"zula22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2,10,32,9,0,0
"ube22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
