"","helen22","hilda22","isla22","kamari22","raya22","alanis22","bea22","cher22","dolly22","fergie22","judy22","luna22","manon22","tracy22","zula22","dory22","rosa22","ube22","uilani22","val22","nelly22"
"helen22",0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"hilda22",0,0,1,2,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"isla22",0,4,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kamari22",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"raya22",0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alanis22",0,4,0,0,0,0,12,4,0,0,0,2,0,0,0,0,0,0,0,0,6
"bea22",20,0,0,0,0,12,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0
"cher22",8,0,0,0,0,4,8,0,4,0,4,0,2,0,2,0,0,0,0,0,2
"dolly22",24,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,2,0,0,0
"fergie22",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"judy22",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"luna22",4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"manon22",2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"tracy22",0,0,0,0,0,0,6,0,0,0,2,1,0,0,11,4,0,0,2,0,0
"zula22",0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,4,0,0
"dory22",0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0
"rosa22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,1,0,0
"ube22",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0
"uilani22",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
"val22",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"nelly22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
